ts,measured,total,best_bpb,fmt,algo
2026-05-12T19:27:38Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-12T20:18:04Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-12T20:57:37Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-12T21:42:13Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-12T22:21:30Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-12T22:47:26Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-12T23:18:26Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-13T00:16:14Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-13T01:20:45Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-13T02:09:32Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-13T03:25:48Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-13T04:09:45Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-13T04:36:05Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-13T04:57:28Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-13T06:28:07Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-13T07:35:18Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-13T08:42:08Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-13T09:41:41Z,10,240,2.7585201263427734,binary16,sgdm
2026-05-13T11:03:10Z,13,240,2.7585201263427734,binary16,sgdm
2026-05-13T11:41:28Z,20,240,2.5920395851135254,gf256,adamw
2026-05-13T12:34:34Z,20,240,2.5718817710876465,gf256,adamw
2026-05-13T13:46:25Z,20,240,2.5718817710876465,gf256,adamw
2026-05-13T16:17:35Z,20,240,2.5718817710876465,gf256,adamw
2026-05-13T17:28:37Z,20,240,2.5718817710876465,gf256,adamw
2026-05-13T18:42:53Z,20,240,2.5718817710876465,gf256,adamw
2026-05-13T19:31:44Z,20,240,2.5718817710876465,gf256,adamw
2026-05-13T20:17:40Z,20,240,2.5718817710876465,gf256,adamw
2026-05-13T20:53:51Z,20,240,2.5718817710876465,gf256,adamw
2026-05-13T21:29:14Z,20,240,2.5718817710876465,gf256,adamw
